AAP,NULL,Alexandra Palace,910GALEXNDP,N90NN
SAJ,NULL,St Johns (London),910GSTJOHNS,SE84ED
SAT,NULL,South Acton,910GSACTON,W38UB
SBM,NULL,South Bermondsey,910GSBRMNDS,SE163LL
SBP,NULL,Stonebridge Park,910GSTNBGPK,HA96HW
SBU,NULL,Southbury,910GSBURY,EN11UB
SCY,NULL,South Croydon,910GSCROYDN,CR01JT
SDC,NULL,Shoreditch High Street,910GSHRDHST,EC2A3HB
SDE,NULL,Shadwell,910GSHADWEL,E12NW
SDH,NULL,Sudbury Hill Harrow,910GSDBRYHH,UB60HU
SDS,SFS,Southfields,940GZZLUSFS,SW196LL
SEH,NULL,Shoreham (Kent),910GSHRMKT,TN147RT
SFA,NULL,Stratford International,910GSTFODOM,E151DB
SGN,NULL,South Greenford,910GSGFORD,UB68BJ
SGR,NULL,Slade Green,910GSLADEGN,DA82PB
SID,NULL,Sidcup,910GSIDCUP,DA157AN
SIH,NULL,St Helier (Surrey),910GSHLIER,SM45NP
SJS,NULL,St James Street,910GSTJMSST,E177ES
SKW,NULL,Stoke Newington,910GSTKNWNG,N165SQ
SLV,NULL,Silver Street,910GSIVRST,N182UF
SMG,NULL,St Margarets (London),910GSTMGTS,TW11RW
SMH,NULL,Stamford Hill,910GSTMFDHL,N156PX
SMO,NULL,South Merton,910GSMERTON,SW193LT
SMY,NULL,St Mary Cray,910GSTMRYC,BR52PQ
SNR,NULL,Sanderstead,910GSDSD,CR20PW
SOH,NULL,South Hampstead,910GSHMPSTD,NW63SG
SOK,NULL,South Kenton,910GSKENTON,HA98RY
SPB,NULL,Shepherds Bush,910GSHPDSB,W128AY
SQE,NULL,Surrey Quays,910GSURREYQ,SE167LL
SRA,SFD,Stratford,910GSTFD,E151DE
SRC,NULL,Streatham Common,910GSTRHCOM,SW165PH
SRH,NULL,Streatham Hill,910GSTRHILL,SW24RU
SRS,NULL,Selhurst,910GSELHRST,SE256NS
SRT,NULL,Shortlands,910GSHRTLND,BR20BN
SRU,NULL,South Ruislip,910GSRUISLP,HA46TP
STE,NULL,Streatham (Greater London),910GSTRETHM,SW166BS
STL,NULL,Southall,910GSTHALL,UB11DW
STO,NULL,South Tottenham,910GSTOTNHM,N155PB
STP,NULL,St Pancras International,910GSTPADOM,NW12QL
STW,NULL,Strawberry Hill,910GSTRWBYH,TW25UA
SUD,NULL,Sudbury & Harrow Road,910GSDBRYHR,HA02LZ
SUP,NULL,Sundridge Park,910GSNDP,BR14DT
SUR,NULL,Surbiton,910GSURBITN,KT64RD
SVK,NULL,Seven Kings,910GSVNKNGS,IG38LP
SVS,NULL,Seven Sisters,910GSTOTNHM,N155ES
SYD,NULL,Sydenham,910GSYDENHM,SE265QT
SYH,NULL,Sydenham Hill,910GSYDNHMH,SE217LZ
SYL,NULL,Syon Lane,910GSYONLA,TW89DU
TED,NULL,Teddington,910GTEDNGTN,TW119BQ
TOM,NULL,Tottenham Hale,910GTTNHMHL,N179LJ
TOO,NULL,Tooting,910GTOOTING,SW179SR
TUH,NULL,Tulse Hill,910GTULSEH,SE218JB
TUR,NULL,Turkey Street,910GTURKYST,EN14QG
TWI,NULL,Twickenham,910GTWCKNHM,TW11HD
UHL,NULL,Upper Holloway,910GUPRHLWY,N193JF
UPM,NULL,Upminster,910GUPMNSTR,RM141UP
VIC,NULL,Victoria,910GVICTRIC,SW1E5ND
VXH,NULL,Vauxhall,910GVAUXHLM,SW82LS
WAE,NULL,Waterloo East,910GWLOE,SE19NQ
WAT,NULL,Waterloo,910GWATRLMN,SE17ND
WBO,NULL,Wimbledon Chase,910GWIMLCHS,SW208LU
WBP,NULL,West Brompton,910GWBRMPTN,SW59JX
WCB,NULL,Westcombe Park,910GWCOMBEP,SE100LY
WCP,NULL,Worcester Park,910GWRCSTRP,KT47NX
WCX,NULL,Wembley Stadium,910GWEMBLSM,HA98RT
WCY,NULL,West Croydon,910GWCROYDN,CR03SQ
WDO,NULL,Waddon,910GWADDON,CR04NX
WDT,NULL,West Drayton,910GWDRYTON,UB78ED
WDU,NULL,West Dulwich,910GWDULWCH,SE218HN
WEA,NULL,West Ealing,910GWEALING,W130LD
WEH,NULL,West Ham,910GWHAMHL,E153AU
WGR,NULL,Woodgrange Park,910GWDGRNPK,E78AY
WHC,NULL,Walthamstow Central,910GWLTWCEN,E177JU
WHD,NULL,West Hampstead,910GWHMPSTM,NW61PG
WHL,NULL,White Hart Lane,910GWHHRTLA,N178DX
WHP,NULL,West Hampstead Thameslink,910GWHMDSTD,NW61QU
WIH,NULL,Winchmore Hill,910GWNMHILL,N211BE
WIJ,NULL,Willesden Junction,910GWLSDJHL,NW104XA
WIM,NULL,Wimbledon,910GWDON,SW197QG
WLI,NULL,Welling,910GWELLING,DA163JA
WLT,NULL,Wallington,910GWALNGTN,SM60EL
WMB,NULL,Wembley Central,910GWMBY,HA97JD
WME,NULL,Woodmansterne,910GWDMNSTR,CR53JD
WMP,WMP,Wimbledon Park,940GZZLUWIP,SW197HR
WMW,NULL,Walthamstow Queens Road,910GWLTHQRD,E177QS
WNP,NULL,Wanstead Park,910GFRSTGT,E70HB
WNT,NULL,Wandsworth Town,910GWDWTOWN,SW181AZ
WNW,NULL,West Norwood,910GWNORWOD,SE270JW
WOW,NULL,Woolwich Crossrail,,
WRU,NULL,West Ruislip,910GWRUISLP,HA47DP
WST,NULL,Wood Street,910GWDST,E173TJ
WSW,NULL,Wandsworth Common,910GWANDCMN,SW128NL
WTN,NULL,Whitton (London),910GWHTTON,TW27LW
WWA,NULL,Woolwich Arsenal,910GWOLWCHA,SE186LF
WWD,NULL,Woolwich Dockyard,910GWOLWCDY,SE185QB
WWI,NULL,West Wickham,910GWWICKHM,BR40EQ
WWR,NULL,Wandsworth Road,910GWNDSWRD,SW84TP
ZAD,ALD,Aldgate,940GZZLUALD,EC3N1AH
ZAE,ALE,Aldgate East,940GZZLUADE,E17PT
ZAG,AGR,Arnos Grove,940GZZLUASG,N111AN
ZAL,ARL,Arsenal,940GZZLUASL,N51LP
ZAN,ANG,Angel,940GZZLUAGL,EC1V1NE
ZAP,ALP,Alperton,940GZZLUALP,HA04LL
ZAR,ARC,Archway,940GZZLUACY,N195RQ
ZAS,ZAS,All Saints,940GZZDLALL,E146NT
